lag,average_attention_weight,minutes_before_prediction,feature_set
glucose_lag_12,0.0014813981,60,glucose_insulin
glucose_lag_11,0.0009114848,55,glucose_insulin
glucose_lag_10,0.00079545466,50,glucose_insulin
glucose_lag_9,0.0008235787,45,glucose_insulin
glucose_lag_8,0.0009418211,40,glucose_insulin
glucose_lag_7,0.0019401684,35,glucose_insulin
glucose_lag_6,0.0043224255,30,glucose_insulin
glucose_lag_5,0.010158934,25,glucose_insulin
glucose_lag_4,0.026536457,20,glucose_insulin
glucose_lag_3,0.07585714,15,glucose_insulin
glucose_lag_2,0.22087756,10,glucose_insulin
glucose_lag_1,0.65535533,5,glucose_insulin
glucose_lag_12,0.0009523474,60,glucose_meal
glucose_lag_11,0.00045005942,55,glucose_meal
glucose_lag_10,0.00059404434,50,glucose_meal
glucose_lag_9,0.0008839899,45,glucose_meal
glucose_lag_8,0.0011507897,40,glucose_meal
glucose_lag_7,0.0017754816,35,glucose_meal
glucose_lag_6,0.0038311493,30,glucose_meal
glucose_lag_5,0.009951069,25,glucose_meal
glucose_lag_4,0.027480906,20,glucose_meal
glucose_lag_3,0.07775008,15,glucose_meal
glucose_lag_2,0.22282685,10,glucose_meal
glucose_lag_1,0.65235424,5,glucose_meal
glucose_lag_12,0.0010452033,60,glucose_only
glucose_lag_11,0.0006389159,55,glucose_only
glucose_lag_10,0.0003942038,50,glucose_only
glucose_lag_9,0.00036240357,45,glucose_only
glucose_lag_8,0.0007238238,40,glucose_only
glucose_lag_7,0.0015757594,35,glucose_only
glucose_lag_6,0.0034271039,30,glucose_only
glucose_lag_5,0.0082072625,25,glucose_only
glucose_lag_4,0.023765912,20,glucose_only
glucose_lag_3,0.07417088,15,glucose_only
glucose_lag_2,0.22444683,10,glucose_only
glucose_lag_1,0.66123897,5,glucose_only
